SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,55,細懸浮微粒,普通,1.6,0.14,0.2,38.2,35,19,11,6,7.7,1.7,1.4,77,2021/08/22 14:00:00,17,24,1,121.760056,25.129167,1
汐止,新北市,65,細懸浮微粒,普通,1.9,0.24,0.3,62.3,42,29,17,7.5,7.7,0.2,1.5,51,2021/08/22 14:00:00,21,32,2,121.6423,25.067131,2
萬里,新北市,46,,良好,0.9,0.13,0.1,43.6,38,25,9,4.1,5.3,1.2,3.9,4,2021/08/22 14:00:00,14,27,1,121.689881,25.179667,3
新店,新北市,52,細懸浮微粒,普通,2.2,0.23,0.2,57.2,38,30,15,7.6,8.4,0.8,2.6,352,2021/08/22 14:00:00,15,26,1,121.537778,24.977222,4
土城,新北市,55,細懸浮微粒,普通,2.8,0.28,0.3,59.2,36,36,18,6.9,7.4,0.4,3.8,329,2021/08/22 14:00:00,17,32,1,121.451861,24.982528,5
板橋,新北市,55,細懸浮微粒,普通,2.3,0.24,0.3,51.6,35,28,13,7.2,8.5,1.2,4.7,8,2021/08/22 14:00:00,17,29,2,121.458667,25.012972,6
新莊,新北市,58,細懸浮微粒,普通,1.9,0.13,0.2,48.1,30,34,13,5.3,6.1,0.8,4.5,18,2021/08/22 14:00:00,18,31,2,121.4325,25.037972,7
菜寮,新北市,60,細懸浮微粒,普通,3.2,0.18,0.3,40.6,33,18,11,7.2,9.1,1.8,2.6,0,2021/08/22 14:00:00,19,29,1,121.481028,25.06895,8
林口,新北市,50,,良好,2.2,0.1,0.2,40.9,29,19,10,3.5,3.9,0.4,3,331,2021/08/22 14:00:00,15,23,2,121.376869,25.077197,9
淡水,新北市,40,,良好,1,0.08,0.2,28.6,24,7,8,3.2,3.8,0.6,,,2021/08/22 14:00:00,12,18,1,121.449239,25.1645,10
士林,臺北市,51,細懸浮微粒,普通,1.4,0.11,0.2,37.7,33,22,7,4.8,5.8,0.9,4.3,289,2021/08/22 14:00:00,15,34,1,121.515389,25.105417,11
中山,臺北市,59,細懸浮微粒,普通,1.6,0.24,0.4,40.7,34,21,12,7.1,9.4,2.2,3.8,9,2021/08/22 14:00:00,18,29,1,121.526528,25.062361,12
萬華,臺北市,55,細懸浮微粒,普通,2.6,0.28,0.3,42,35,19,12,10.5,12.6,2,1.7,6,2021/08/22 14:00:00,17,24,1,121.507972,25.046503,13
古亭,臺北市,58,細懸浮微粒,普通,1.2,0.19,0.3,49.8,40,21,14,7,8.2,1.1,2.9,13,2021/08/22 14:00:00,18,27,1,121.529556,25.020608,14
松山,臺北市,63,細懸浮微粒,普通,0.6,0.18,0.3,53.2,40,18,13,6.4,7.6,1.1,3.3,301,2021/08/22 14:00:00,20,32,1,121.578611,25.05,15
大同,臺北市,59,細懸浮微粒,普通,1.2,0.38,1,-,-,15,10,9.3,13.1,3.8,-,-,2021/08/22 14:00:00,18,29,1,121.513311,25.0632,16
桃園,桃園市,52,細懸浮微粒,普通,1.9,0.16,0.2,48.5,30,21,15,4.4,4.9,0.5,,,2021/08/22 14:00:00,16,24,2,121.30872222,24.98677778,17
大園,桃園市,39,,良好,2.1,0.14,0.2,26.1,22,15,8,4.7,7.1,2.4,3.9,312,2021/08/22 14:00:00,12,21,2,121.201811,25.060344,18
觀音,桃園市,30,,良好,3,0.08,0.1,24.2,20,9,5,3.8,5.8,2,3.5,271,2021/08/22 14:00:00,9,15,1,121.082761,25.035503,19
平鎮,桃園市,56,細懸浮微粒,普通,1.5,0.15,0.2,41.1,27,16,13,4,5.6,1.6,2.3,296,2021/08/22 14:00:00,17,22,1,121.203986,24.952786,20
龍潭,桃園市,52,細懸浮微粒,普通,1.4,0.21,0.2,57.7,35,29,22,6.9,7,0,2.7,303,2021/08/22 14:00:00,16,25,0,121.21635,24.863869,21
湖口,新竹縣,41,,良好,1.3,0.09,0.1,33,25,9,9,2.6,3.8,1.1,3.5,291,2021/08/22 14:00:00,12,20,1,121.038653,24.900142,22
竹東,新竹縣,48,,良好,2,0.2,0.2,58.8,34,28,16,3.9,4.5,0.5,2.8,239,2021/08/22 14:00:00,14,24,1,121.088903,24.740644,23
新竹,新竹市,55,細懸浮微粒,普通,1.1,0.14,0.2,32,25,13,11,4.1,5,0.9,2.9,251,2021/08/22 14:00:00,17,22,1,120.972075,24.805619,24
頭份,苗栗縣,45,,良好,2.2,0.1,0.2,34.7,30,14,7,3.3,5.5,2.1,3.9,289,2021/08/22 14:00:00,13,29,2,120.898572,24.696969,25
苗栗,苗栗縣,40,,良好,2.3,0.1,0.1,42.8,33,16,14,3.9,6,2.1,3.2,283,2021/08/22 14:00:00,12,19,1,120.8202,24.565269,26
三義,苗栗縣,44,,良好,2.6,0.16,0.1,53.1,34,28,18,3.7,4.8,1.1,3.1,315,2021/08/22 14:00:00,13,21,2,120.758833,24.382942,27
豐原,臺中市,37,,良好,4.1,0.2,0.2,49.5,34,27,17,5.8,7,1.2,2.4,350,2021/08/22 14:00:00,11,19,2,120.741711,24.256586,28
沙鹿,臺中市,38,,良好,15.8,0.25,0.1,23.2,29,18,4,13.9,21.8,7.9,3,243,2021/08/22 14:00:00,10,22,2,120.568794,24.225628,29
大里,臺中市,37,,良好,2.2,0.14,0.1,53.4,30,26,19,3.9,5.6,1.7,3.9,277,2021/08/22 14:00:00,11,18,1,120.67844444,24.09961111,30
忠明,臺中市,42,,良好,2.6,0.19,0.1,44.7,31,25,15,10.6,11.9,1.3,3,258,2021/08/22 14:00:00,12,19,2,120.641092,24.151958,31
西屯,臺中市,44,,良好,2.2,0.1,0.1,39.5,28,24,16,5.3,6.6,1.2,3.3,270,2021/08/22 14:00:00,13,19,1,120.616917,24.162197,32
彰化,彰化縣,47,,良好,1.8,0.03,0,41.5,33,18,7,4.6,6,1.4,3,278,2021/08/22 14:00:00,14,21,2,120.541519,24.066,33
線西,彰化縣,33,,良好,1.3,0.06,0.1,23.4,26,8,4,2.2,2.8,0.6,4.2,265,2021/08/22 14:00:00,10,17,1,120.469061,24.131672,34
二林,彰化縣,44,,良好,2.8,0.07,0.1,21.6,27,8,7,1.7,3.6,1.8,2.8,293,2021/08/22 14:00:00,13,24,2,120.409653,23.925175,35
南投,南投縣,32,,良好,1.4,0.11,0.1,47,27,21,15,2.2,3.5,1.3,2.3,282,2021/08/22 14:00:00,9,15,1,120.685306,23.913,36
斗六,雲林縣,34,,良好,1.6,0.12,0.1,42.6,29,16,11,2.3,3,0.7,2.1,308,2021/08/22 14:00:00,10,14,1,120.544994,23.711853,37
崙背,雲林縣,37,,良好,1.5,0.08,0.1,29.3,25,16,9,3.7,5.7,1.9,2.5,266,2021/08/22 14:00:00,11,23,1,120.348742,23.757547,38
新港,嘉義縣,29,,良好,2.3,0.11,0.1,42.2,29,11,7,1.1,2,0.8,2.5,253,2021/08/22 14:00:00,9,16,3,120.345531,23.554839,39
朴子,嘉義縣,35,,良好,2.1,0.13,0.1,32.1,23,10,11,0.9,2.9,2,2.6,295,2021/08/22 14:00:00,10,15,1,120.24781111,23.46712222,40
臺西,雲林縣,38,,良好,1.5,0.1,0.1,22.6,22,9,7,2.3,3.9,1.6,4.3,234,2021/08/22 14:00:00,11,17,2,120.19933333,23.702175,41
嘉義,嘉義市,25,,良好,1.2,0.07,0,41.6,27,13,7,1.3,2.7,1.4,2.2,246,2021/08/22 14:00:00,6,13,1,120.44083333,23.462778,42
新營,臺南市,39,,良好,1.2,0.12,0.1,40,27,17,9,2.7,3.7,1,2.6,265,2021/08/22 14:00:00,12,17,0,120.31725,23.305633,43
善化,臺南市,22,,良好,1.4,0.04,0,35.7,24,8,4,3.6,4.4,0.8,3.7,269,2021/08/22 14:00:00,5,11,1,120.297142,23.115097,44
安南,臺南市,26,,良好,1.7,0.15,0.1,36,24,13,8,1.8,2.5,0.7,3.7,173,2021/08/22 14:00:00,8,15,1,120.2175,23.048197,45
臺南,臺南市,23,,良好,1.1,0.11,0.1,31.8,25,8,4,3.1,4.5,1.4,2.7,273,2021/08/22 14:00:00,5,10,0,120.202617,22.984581,46
美濃,高雄市,25,,良好,1.6,0.15,0.1,50,27,12,7,2,2.4,0.4,1.6,273,2021/08/22 14:00:00,6,12,1,120.530542,22.883583,47
橋頭,高雄市,31,,良好,1.8,0.1,0.1,42.7,27,16,8,1.1,2,0.8,3.9,264,2021/08/22 14:00:00,9,16,1,120.305689,22.757506,48
仁武,高雄市,28,,良好,1.3,0.13,0.1,41.3,30,7,8,2.9,4.2,1.2,2.7,283,2021/08/22 14:00:00,7,12,1,120.332631,22.689056,49
